Time,Temperature (Â°C),Humidity (%),Co2 (ppm),new_name
0:00,23.8,33.8%,575,Monday
0:15,23.8,33.8%,590.67,Monday
0:30,23.8,33.8%,548.33,Monday
0:45,23.8,34.0%,575,Monday
1:00,23.7,33.9%,563.17,Monday
1:15,23.7,34.1%,563.83,Monday
1:30,23.7,34.1%,548.17,Monday
1:45,23.7,34.1%,584.5,Monday
2:00,23.6,34.0%,572,Monday
2:15,23.6,34.0%,581.67,Monday
2:30,23.6,34.1%,576.83,Monday
2:45,23.5,34.1%,575.5,Monday
3:00,23.5,34.3%,586.67,Monday
3:15,23.5,34.1%,591.17,Monday
3:30,23.4,34.1%,593.67,Monday
3:45,23.4,34.1%,593.33,Monday
4:00,23.4,34.3%,570.5,Monday
4:15,23.4,34.2%,547.67,Monday
4:30,23.4,34.2%,553.33,Monday
4:45,23.4,34.2%,569,Monday
5:00,23.3,34.3%,565.67,Monday
5:15,23.3,34.3%,537.33,Monday
5:30,23.3,34.3%,566,Monday
5:45,23.2,34.3%,557.67,Monday
6:00,23.2,34.3%,558,Monday
6:15,23.2,34.4%,553.67,Monday
6:30,23.2,34.5%,568.17,Monday
6:45,23.2,34.5%,566.33,Monday
7:00,23.2,34.5%,607,Monday
7:15,23.2,34.4%,559.67,Monday
7:30,23.2,34.4%,593.67,Monday
7:45,23.2,34.5%,595.5,Monday
8:00,23.2,34.4%,547.83,Monday
8:15,23.4,34.3%,615.5,Monday
8:30,23.6,33.9%,575,Monday
8:45,23.6,34.0%,558.5,Monday
9:00,23.7,34.1%,557.33,Monday
9:15,23.3,39.3%,1067.67,Monday
9:30,23.7,41.6%,1517.33,Monday
9:45,24.1,43.9%,2236.83,Monday
10:00,24.5,45.0%,2644,Monday
10:15,24.8,46.3%,3306.17,Monday
10:30,25.1,40.3%,1731.83,Monday
10:45,24.8,41.8%,2292.83,Monday
11:00,25,42.1%,2434.5,Monday
11:15,25,42.5%,2738.83,Monday
11:30,25.1,42.6%,2845.67,Monday
11:45,24.7,42.6%,2519,Monday
12:00,24.6,42.2%,2457.17,Monday
12:15,24.7,41.4%,2226.67,Monday
12:30,25,43.1%,2496.17,Monday
12:45,25.2,44.0%,2593.83,Monday
13:00,25.5,44.7%,2836.33,Monday
13:15,25.8,44.9%,2942.5,Monday
13:30,25.5,44.8%,3016.33,Monday
13:45,25.6,43.5%,2824.17,Monday
14:00,25.5,42.6%,2615.33,Monday
14:15,25.5,43.8%,2698.67,Monday
14:30,25.9,45.5%,3064.83,Monday
14:45,26,46.7%,3318.83,Monday
15:00,26.3,47.5%,3681.67,Monday
15:15,26.3,47.3%,3686,Monday
15:30,26,46.2%,3448.67,Monday
15:45,25.7,45.5%,3230.33,Monday
16:00,25.7,44.4%,3168.83,Monday
16:15,25.6,43.6%,3082.5,Monday
16:30,25.6,43.0%,2814.83,Monday
16:45,25.4,42.9%,2755.67,Monday
17:00,25.4,42.5%,2609.17,Monday
17:15,25.5,41.9%,2623.83,Monday
17:30,25.5,41.5%,2463,Monday
17:45,25.4,41.5%,2409.17,Monday
18:00,25.4,41.3%,2301,Monday
18:15,25.2,41.2%,2091.83,Monday
18:30,25.2,41.0%,2019,Monday
18:45,25.2,40.8%,1932.33,Monday
19:00,23.3,45.3%,1550.83,Monday
19:15,22.2,47.7%,1325.33,Monday
19:30,22.1,47.6%,1296.67,Monday
19:45,22,47.4%,1172.83,Monday
20:00,22,47.5%,1136,Monday
20:15,22,47.3%,1093.83,Monday
20:30,22,47.3%,1071.5,Monday
20:45,23.6,43.5%,1026,Monday
21:00,24.4,41.1%,1072.83,Monday
21:15,24.7,40.2%,1253,Monday
21:30,24.7,39.5%,1203.17,Monday
21:45,24.6,39.5%,1106.83,Monday
22:00,24.6,39.4%,983.17,Monday
22:15,24.5,39.3%,1019.83,Monday
22:30,24.5,39.2%,1094.17,Monday
22:45,24.4,39.1%,949.67,Monday
23:00,24.4,39.1%,951.17,Monday
23:15,24.3,39.0%,931.5,Monday
23:30,24.3,38.8%,905.83,Monday
23:45,24.2,38.8%,901.67,Monday
23:59,24.1,38.6%,897.33,Monday
0:00,24.1,38.7%,878.67,Tuesday
0:15,24.1,38.6%,917.67,Tuesday
0:30,24,38.4%,852.33,Tuesday
0:45,23.9,38.5%,835.83,Tuesday
1:00,23.8,38.6%,839,Tuesday
1:15,23.7,38.4%,807.83,Tuesday
1:30,23.7,38.1%,817.67,Tuesday
1:45,23.7,38.1%,770,Tuesday
2:00,23.6,38.0%,771.5,Tuesday
2:15,23.6,38.0%,766.5,Tuesday
2:30,23.5,37.9%,748,Tuesday
2:45,23.5,37.8%,740.83,Tuesday
3:00,23.5,37.8%,746.67,Tuesday
3:15,23.4,37.6%,731.83,Tuesday
3:30,23.4,37.6%,718.5,Tuesday
3:45,23.3,37.5%,722.67,Tuesday
4:00,23.3,37.5%,704.17,Tuesday
4:15,23.3,37.4%,691.83,Tuesday
4:30,23.2,37.0%,654,Tuesday
4:45,23.2,37.1%,666.67,Tuesday
5:00,23.2,36.9%,697.67,Tuesday
5:15,23.1,36.9%,647.83,Tuesday
5:30,23.1,36.6%,660.83,Tuesday
5:45,23.1,36.7%,662.33,Tuesday
6:00,23.1,36.5%,641,Tuesday
6:15,23.1,36.4%,675.33,Tuesday
6:30,23,36.3%,662.5,Tuesday
6:45,23.1,36.3%,638.83,Tuesday
7:00,23,36.2%,663.5,Tuesday
